,precision,recall,f1-score,support,score
Real (0),0.9279315960912052,0.8384841795437822,0.8809431774255895,5436.0,
Fake (1),0.8838777939426001,0.9496944720761689,0.915604877380463,7037.0,
accuracy,0.9012266495630562,0.9012266495630562,0.9012266495630562,0.9012266495630562,
macro avg,0.9059046950169027,0.8940893258099756,0.8982740274030263,12473.0,
weighted avg,0.9030773825323394,0.9012266495630562,0.900498567675124,12473.0,
AUC-ROC,,,,,0.9480207659859067
Tiempo Entrenamiento (segundos),,,,,809.28
