,precision,recall,f1-score,support,score
Real (0),0.9007268553940322,0.86626195732156,0.8831582895723931,5436.0,
Fake (1),0.8996549344375432,0.9262469802472645,0.9127573169023946,7037.0,
accuracy,0.9001042251262728,0.9001042251262728,0.9001042251262728,0.9001042251262728,
macro avg,0.9001908949157877,0.8962544687844123,0.8979578032373938,12473.0,
weighted avg,0.9001221005018,0.9001042251262728,0.8998574281373912,12473.0,
AUC-ROC,,,,,0.9514062796217576
Tiempo Entrenamiento (segundos),,,,,964.38
