,precision,recall,f1-score,support,score
Real (0),0.9355945891378962,0.8524650478292862,0.89209741072288,5436.0,
Fake (1),0.8933510638297872,0.9546681824641182,0.9229923748025005,7037.0,
accuracy,0.9101258718832679,0.9101258718832679,0.9101258718832679,0.9101258718832679,
macro avg,0.9144728264838418,0.9035666151467022,0.9075448927626902,12473.0,
weighted avg,0.9117616950792766,0.9101258718832679,0.909527689102443,12473.0,
AUC-ROC,,,,,0.9574265056257355
Tiempo Entrenamiento (segundos),,,,,624.65
