,precision,recall,f1-score,support,score
Real (0),0.922237380627558,0.8704930095658573,0.8956184347496925,5436.0,
Fake (1),0.9041133206210842,0.9432997015773767,0.9232909103553794,7037.0,
accuracy,0.9115689890162751,0.9115689890162751,0.9115689890162751,0.9115689890162751,
macro avg,0.9131753506243211,0.906896355571617,0.9094546725525359,12473.0,
weighted avg,0.9120121733586126,0.9115689890162751,0.9112306540102728,12473.0,
AUC-ROC,,,,,0.9596540879319372
Tiempo Entrenamiento (segundos),,,,,81.36
