,precision,recall,f1-score,support,score
Real (0),0.9376269809020723,0.8489698307579102,0.8910986676964665,5436.0,
Fake (1),0.8912726791153489,0.9563734545971294,0.9226761721963257,7037.0,
accuracy,0.9095646596648761,0.9095646596648761,0.9095646596648761,0.9095646596648761,
macro avg,0.9144498300087106,0.9026716426775199,0.9068874199463961,12473.0,
weighted avg,0.9114748746186463,0.9095646596648761,0.9089140207923945,12473.0,
AUC-ROC,,,,,0.9568154968330435
Tiempo Entrenamiento (segundos),,,,,651.26
