,precision,recall,f1-score,support,score
Real (0),0.919684402184908,0.8364305427782889,0.8760840238967046,5435.0,
Fake (1),0.8819389110225764,0.9435919295254334,0.9117243272926964,7038.0,
accuracy,0.8968972981640343,0.8968972981640343,0.8968972981640343,0.8968972981640343,
macro avg,0.9008116566037422,0.8900112361518611,0.8939041755947005,12473.0,
weighted avg,0.8983861766737647,0.8968972981640343,0.8961943786871313,12473.0,
AUC-ROC,,,,,0.9589889476316371
Tiempo Entrenamiento (segundos),,,,,358.07
