,precision,recall,f1-score,support,score
Real (0),0.923226433430515,0.8738042678440029,0.8978357433134865,5436.0,
Fake (1),0.9063864628820961,0.9438681256217138,0.9247476505395057,7037.0,
accuracy,0.9133327988455063,0.9133327988455063,0.9133327988455063,0.9133327988455063,
macro avg,0.9148064481563056,0.9088361967328584,0.9112916969264961,12473.0,
weighted avg,0.9137256819874602,0.9133327988455063,0.9130188661507749,12473.0,
AUC-ROC,,,,,0.9616609040012724
Tiempo Entrenamiento (segundos),,,,,108.93
