,precision,recall,f1-score,support,score
Real (0),0.8966613672496025,0.8300220750551877,0.8620557890714559,5436.0,
Fake (1),0.8758231420507996,0.9261048742361802,0.9002624671916011,7037.0,
accuracy,0.8842299366631925,0.8842299366631925,0.8842299366631925,0.8842299366631925,
macro avg,0.8862422546502011,0.8780634746456839,0.8811591281315285,12473.0,
weighted avg,0.8849048859921683,0.8842299366631925,0.883611180230877,12473.0,
AUC-ROC,,,,,0.9440489866293825
Tiempo Entrenamiento (segundos),,,,,371.64
