,precision,recall,f1-score,support,score
Real (0),0.91713048855906,0.8184326710816777,0.8649752114319044,5436.0,
Fake (1),0.870506428758856,0.9428733835441239,0.9052459240057302,7037.0,
accuracy,0.8886394612362704,0.8886394612362704,0.8886394612362704,0.8886394612362704,
macro avg,0.8938184586589579,0.8806530273129007,0.8851105677188174,12473.0,
weighted avg,0.8908261905702815,0.8886394612362704,0.8876950867130727,12473.0,
AUC-ROC,,,,,0.9465408740910417
Tiempo Entrenamiento (segundos),,,,,320.86
