,precision,recall,f1-score,support,score
Real (0),0.9060975609756098,0.8202391904323827,0.8610333172380492,5435.0,
Fake (1),0.8706474248642924,0.9343563512361467,0.9013775615105202,7038.0,
accuracy,0.8846308025334723,0.8846308025334723,0.8846308025334723,0.8846308025334723,
macro avg,0.888372492919951,0.8772977708342646,0.8812054393742847,12473.0,
weighted avg,0.8860945097488439,0.8846308025334723,0.8837979120580325,12473.0,
AUC-ROC,,,,,0.9494885825482012
Tiempo Entrenamiento (segundos),,,,,119371.23
