,precision,recall,f1-score,support,score
Real (0),0.890888638920135,0.8741721854304636,0.8824512534818941,5436.0,
Fake (1),0.9041882616612971,0.9172943015489555,0.9106941309255079,7037.0,
accuracy,0.8985007616451536,0.8985007616451536,0.8985007616451536,0.8985007616451536,
macro avg,0.897538450290716,0.8957332434897096,0.896572692203701,12473.0,
weighted avg,0.8983920018023251,0.8985007616451536,0.8983852812675679,12473.0,
AUC-ROC,,,,,0.9476422871727209
Tiempo Entrenamiento (segundos),,,,,1004.51
